"num","article_id","title","access_article","access_supp","comments.kd","comments.mg","design_ev.kd","design_ev.mg","design_judg_4_TEXT.kd","design_judg_4_TEXT.mg","design_judg_rat.kd","design_judg_rat.mg","title_sub","design_all.kd","design_all.mg","supp_location","resol_becky","resol_correct_design"
52,"Ul-Ha2014ants-153","Gender differences in the association between adiposity and probable major depression: a cross-sectional study of 140,564 UK Biobank participants","Yes","Yes",NA,NA,"""We conducted a cross-sectional study using baseline data on the sub-group of UK Biobank""","We conducted a cross-sectional study using baseline data on the sub-group of UK Biobank participants who were assessed for mood disorder.",NA,NA,NA,NA,"genderdifferencesintheassociationbetweenadiposityandprobablemajordepressionacrosssectionalstudyofukbiobankparticipants","cross-sectional","cross-sectional",NA,NA,NA
163,"Ul-Ha2014ants3077","Heaviness, health and happiness: a cross-sectional study of 163066 UK Biobank participants","Yes","Yes",NA,NA,"""We conducted a cross-sectional study of the 163 066 UK Biobank participants who completed the happiness rating. ""","Methods We conducted a cross-sectional study of the 163 066 UK Biobank participants who completed the happiness rating.",NA,NA,NA,NA,"heavinesshealthandhappinessacrosssectionalstudyofukbiobankparticipants","cross-sectional","cross-sectional",NA,NA,NA
118,"Usher2018bank.463","External validation of risk prediction models for incident colorectal cancer using UK Biobank","Yes","Yes",NA,NA,NA,NA,NA,NA,"Sampled everyone without a prior diagnosis of colorectal cancer (CC) then compared risk models for developing CC at follow up","External validation of fourteen risk models from a previous systematic review in 373 112 men and women within the UK Biobank cohort with 5-year follow-up","externalvalidationofriskpredictionmodelsforincidentcolorectalcancerusingukbiobank","cohort","cohort",NA,NA,NA
69,"vande2018eath8341","Heart Rate Recovery 10 Seconds After Cessation of Exercise Predicts Death","Yes","Yes",NA,NA,NA,NA,NA,NA,"""The purpose of this work was therefore to systematically study HRR at multiple time intervals after cessation of exercise as predictors of mortality."" Did not sample based on outcome. Used cox proportional models.","During a median follow-up period of 6 years, 536 participants died (including 39 of coronary artery disease). ","heartraterecoverysecondsaftercessationofexercisepredictsdeath","cohort","cohort",NA,NA,NA
12,"vonSc2018hort4458","Associations between chronotype, morbidity and mortality in the UK Biobank cohort","Yes","Yes",NA,NA,NA,"The unique strengths of this study include its large sample size and the prospective study design.",NA,NA,"""The unique strengths of this study include its ... prospective study design"" and examined associations between chronotype and all cause mortality and CVD mortality",NA,"associationsbetweenchronotypemorbidityandmortalityintheukbiobankcohort","cohort","cohort",NA,NA,NA
30,"Walke2016bank52-1","Chronic widespread bodily pain is increased among individuals with history of fracture: findings from UK Biobank","Yes","Not present",NA,NA,"""In this cross-sectional analysis of the UK Biobank""","In this cross-sectional analysis of the UK Biobank cohort, a history of fracture was associated with increased risk of current widespread chronic pain.",NA,NA,NA,NA,"chronicwidespreadbodilypainisincreasedamongindividualswithhistoryoffracturefindingsfromukbiobank","cross-sectional","cross-sectional",NA,NA,NA
6,"Welch2017hort1189","Dietary Magnesium May Be Protective for Aging of Bone and Skeletal Muscle in Middle and Younger Older Age Men and Women: Cross-Sectional Findings from the UK Biobank Cohort","Yes","Not present",NA,NA,"""We analysed cross-sectional associations between dietary magnesium and skeletal muscle mass ..., grip strength, and bone density ... in ... the UK Biobank cohort""","We analysed cross-sectional associations between dietary magnesium and skeletal muscle mass (as fat free mass—FFM), grip strength, and bone density (BMD) in 156,575 men and women aged 39–72 years from the UK Biobank cohort.",NA,NA,NA,NA,"dietarymagnesiummaybeprotectiveforagingofboneandskeletalmuscleinmiddleandyoungerolderagemenandwomencrosssectionalfindingsfromtheukbiobankcohort","cross-sectional","cross-sectional",NA,NA,NA
4,"Welsh2018bank0945","Association of Total and Differential Leukocyte Counts With Cardiovascular Disease and Mortality in the UK Biobank","Yes","Yes",NA,NA,NA,"Cross-Sectional Associations",NA,NA,"""we examined the association between WBC and the differential leukocyte counts with all-cause mortality, CVD mortality, and non-CVD mortality in the UK Biobank population"". Did not sample based on outcome","Death because of CVD (n=1377) and non-CVD causes (n=8987) occurred during median follow-up time of 7.0 years (interquartile range, 6.3–7.6).","associationoftotalanddifferentialleukocytecountswithcardiovasculardiseaseandmortalityintheukbiobank","cohort","cohort,cross-sectional",NA,TRUE,NA
38,"Wijnd2017ties1206","Mortality Risk Reductions from Substituting Screen Time by Discretionary Activities","Yes","Yes",NA,NA,NA,NA,NA,NA,"""We estimated the all-cause mortality risk reductions associated with substituting leisure screen time with different discretionary physical activity types"". Did not sample based on outcome. Outcome measured at follow up. Used Cox regression. ","A total of 423,659 UK Biobank participants, without stroke, myocardial infarction, or cancer history, were followed for 7.6 (1.4) yr, median (interquartile range [IQR]). ","mortalityriskreductionsfromsubstitutingscreentimebydiscretionaryactivities","cohort","cohort",NA,NA,NA
96,"Willi2019antsy094","A Frailty Index for UK Biobank Participants","Yes","Yes",NA,NA,NA,NA,NA,NA,"""we assessed associations of the [fragility index] with age, sex, and risk of all-cause mortality (follow-up = 9.7 years) using linear and Cox proportional hazards regression models.""","To validate the measure, we assessed associations of the FI with age, sex, and risk of all-cause mortality (follow-up = 9.7 years) using linear and Cox proportional hazards regression models.","afrailtyindexforukbiobankparticipants","cohort","cohort",NA,NA,NA
107,"Woodw2018bank2289","Women's reproductive factors and incident cardiovascular disease in the UK Biobank","Yes","Yes",NA,NA,NA,NA,NA,NA,"""In the present study, we use prospective data from 482<U+2009>000 women and men in the UK Biobank to assess the relationship between reproductive factors and the risk of incident CVD in later life"" using Cox proportional models. Did not sample based on outcome (CVD) which was measured at follow-up","Methods Between 2006 and 2010, the UK Biobank recruited over 500<U+2009>000 participants aged 40–69 years across the UK. During 7 years of follow-up, 9054 incident cases of CVD (34% women), 5782 cases of coronary heart disease (CHD) (28% women), and 3489 cases of stroke (43% women) were recorded among 267<U+2009>440 women and 215<U+2009>088 men without a history of CVD at baseline. Cox regression models yielded adjusted hazard ratios (HRs) for CVD, CHD and stroke associated with reproductive factors.","womensreproductivefactorsandincidentcardiovasculardiseaseintheukbiobank","cohort","cohort",NA,NA,NA
143,"Wyse2017up/>2045","Adverse metabolic and mental health outcomes associated with shiftwork in a population-based study of 277,168 workers in UK biobank<sup/>","Yes","Yes",NA,NA,"""In this large cross sectional study of UK workers, shiftwork was associated with obesity, depression and sleep disturbance, despite higher levels of physical activity.""",NA,NA,NA,NA,"shift-work and non-shift-work are case and control","adversemetabolicandmentalhealthoutcomesassociatedwithshiftworkinapopulationbasedstudyofworkersinukbiobanksup","cross-sectional","cross-sectional",NA,FALSE,"cross-sectional"
77,"Wyse2018bank2389","Population-level seasonality in cardiovascular mortality, blood pressure, BMI and inflammatory cells in UK biobank","Yes","Present but not accessible",NA,"Redid saying the supplementary material was there (even though it wasn't) so I could document the method/design as it was clearly stated.",NA,"In this cross-sectional study in UK Biobank, we report annual variations in cardiovascular risk factors and mortality that were associated with day length independent of environmental and lifestyle factors.",NA,NA,NA,NA,"populationlevelseasonalityincardiovascularmortalitybloodpressurebmiandinflammatorycellsinukbiobank",NA,"cross-sectional",NA,NA,NA
71,"Yaghj2018bank28-x","Interactions of coffee consumption and postmenopausal hormone use in relation to breast cancer risk in UK Biobank","Yes","Not present",NA,NA,NA,"In this prospective cohort of 126,182 women, 2,636 women developed breast cancer and 123,546 women remained cancer-free during the follow-up.",NA,NA,"investigated the associations of coffee consumption in women with & without breast cancer",NA,"interactionsofcoffeeconsumptionandpostmenopausalhormoneuseinrelationtobreastcancerriskinukbiobank","cohort","cohort",NA,FALSE,"cohort"
66,"Yates2017tudyx449","Association of walking pace and handgrip strength with all-cause, cardiovascular, and cancer mortality: a UK Biobank observational study","Yes","Yes",NA,NA,NA,NA,NA,NA,"""Aims: To quantify the association of self-reported walking pace and handgrip strength with all-cause, cardiovascular, and cancer mortality"" measured at follow up. Used Cox proportional hazard models.","In the full cohort, Cox-proportional hazard models were used to investigate the association of walking pace and handgrip strength with mortality using age as time scale.","associationofwalkingpaceandhandgripstrengthwithallcausecardiovascularandcancermortalityaukbiobankobservationalstudy","cohort","cohort",NA,NA,NA
80,"Yates2018tudy.006","Reaction time, cardiorespiratory fitness and mortality in UK Biobank: An observational study","Yes","Yes",NA,NA,NA,NA,NA,NA,"investigates ""whether intelligence, reaction time and cardiorespiratory fitness are independently associated with all-cause mortality"" at follow up","Over 5.8 years of follow-up, there were 779 deaths.","reactiontimecardiorespiratoryfitnessandmortalityinukbiobankanobservationalstudy","cohort","cohort",NA,NA,NA
57,"Zemed2018Data.012","Patterns of Multimorbidity in Middle-Aged and Older Adults: An Analysis of the UK Biobank Data","Yes","Yes",NA,NA,"""the present research was based on cross-sectional data""",NA,NA,NA,NA,"due to the cross-sectional nature of the data, the study cannot establish any causal links between conditions","patternsofmultimorbidityinmiddleagedandolderadultsananalysisoftheukbiobankdata","cross-sectional","cross-sectional",NA,NA,NA
